category,index,text,bucket,final_key,final_url,src_key,server_url,sample_rate,transcoded
확인,1,"네, 고객님 맞으십니다.",tts-bucket-250810,확인/01.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/01.wav,확인/82b4cf6c743b4c91a56d7249a48b3cd4_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/82b4cf6c743b4c91a56d7249a48b3cd4_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035633Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=01c3be1ad376aeda434213fd33121a5efb992427e2c26116b2e6d82076cd673c,8000,no
확인,2,"네, 말씀하신 내용 확인했습니다.",tts-bucket-250810,확인/02.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/02.wav,확인/984e1808545b402da109d04940f2bf05_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/984e1808545b402da109d04940f2bf05_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035633Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=a1adcf94c76e036e6c5f6f77d36961c71d99dea4accb0f6f88bc39192279c1ac,8000,no
확인,3,"네, 그렇게 진행하겠습니다.",tts-bucket-250810,확인/03.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/03.wav,확인/d399c0193af944678d30368651e731ae_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/d399c0193af944678d30368651e731ae_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035634Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=5db01f3b1bb787f24505648efbd7ae662bb23a3d0c8f8191a5c0875ea56307a1,8000,no
확인,4,알겠습니다. 그대로 처리할게요.,tts-bucket-250810,확인/04.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/04.wav,확인/b10c061d480f4e6e96d5401c35d66764_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/b10c061d480f4e6e96d5401c35d66764_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035634Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=4c858b16cdd643f43143e50469281867a5ebaec3cd084587f918bd107f12d0e5,8000,no
확인,5,"확인되었습니다, 잠시만 기다려 주세요.",tts-bucket-250810,확인/05.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/05.wav,확인/9d4b409567dd4a7ea96c284498916b95_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/9d4b409567dd4a7ea96c284498916b95_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035635Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=aa41ce4a92ff2989e4ff7f6ed6bec3a3146a3d8e43af7237371ebd5810cf709c,8000,no
확인,6,"네, 지금 바로 도와드릴게요.",tts-bucket-250810,확인/06.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/06.wav,확인/377a6ec2a7bf4dbd820c0a76e5677a3d_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/377a6ec2a7bf4dbd820c0a76e5677a3d_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035635Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=aadb942314237313be9f61b14e288b31ee23ac24c7c6aa56755f65a5685c6f97,8000,no
확인,7,"네, 안내드린 대로 진행하겠습니다.",tts-bucket-250810,확인/07.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/07.wav,확인/1feff5a19e0c4b0991899e79a5237da9_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/1feff5a19e0c4b0991899e79a5237da9_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035636Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=ca27577cac0916361b1226f049479cd22fbc13b4ae24e6c216c4f1c1bd422b50,8000,no
확인,8,"네, 요청하신 부분 접수했습니다.",tts-bucket-250810,확인/08.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/08.wav,확인/9100c17613aa4c46b53bc69205d311c2_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/9100c17613aa4c46b53bc69205d311c2_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035636Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=b6fd5f2122936a16fead0065bd1535fb9a178f0fcc892b69946d53307af79f7e,8000,no
확인,9,"네, 문제 없습니다.",tts-bucket-250810,확인/09.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/09.wav,확인/22ddf03c7c684ccdbcfcb27a6f8f018f_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/22ddf03c7c684ccdbcfcb27a6f8f018f_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035636Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=2256cbfaef8c24f2d1752a2bc87a08671da6121a0913d53a022a577c1dae3658,8000,no
확인,10,"네, 이어서 진행하겠습니다.",tts-bucket-250810,확인/10.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/10.wav,확인/546cfc0f00de4c6a9bd3460769e29332_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/546cfc0f00de4c6a9bd3460769e29332_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035637Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=b759aa4b5d5e7d0da1b6c84f0ddd5f7a485509974ac19c86dd13daa3e2acbb3b,8000,no
설명,1,"안내드리자면, 이런 절차로 진행됩니다.",tts-bucket-250810,설명/01.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/01.wav,설명/04db87ae6be4432aa2c76293683eb15b_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/04db87ae6be4432aa2c76293683eb15b_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035637Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=cbf1f05aa961975b0d8054bdf954e05a7ddf8979b4829958dee2810945e10799,8000,no
설명,2,간단히 말씀드리면요…,tts-bucket-250810,설명/02.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/02.wav,설명/3153e96bb0054e51b8f29f989fb9979c_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/3153e96bb0054e51b8f29f989fb9979c_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035638Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=9a8111ce7c194837a63862e67edb5e0abaf55bd80ff63851e08a286a1d273fbf,8000,no
설명,3,먼저 한 가지 확인 후 설명드릴게요.,tts-bucket-250810,설명/03.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/03.wav,설명/a7bb8718069743ecaa0db7ea720db398_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/a7bb8718069743ecaa0db7ea720db398_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035638Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=b0e4c9882d30669868ad4f3817ab90e7604e2d809dd97f55da0d1f209f2579cf,8000,no
설명,4,순서대로 설명드리겠습니다.,tts-bucket-250810,설명/04.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/04.wav,설명/1271a4fb45154bc8b59334497bf2b73f_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/1271a4fb45154bc8b59334497bf2b73f_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035638Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=6994a80e3da4989eb7082d36d9d76fb18ec7a94970c968f84e976b6af4abb6e4,8000,no
설명,5,요약해서 말씀드리면요…,tts-bucket-250810,설명/05.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/05.wav,설명/65ff43fb4ebb4e178218adca6f22e670_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/65ff43fb4ebb4e178218adca6f22e670_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035639Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=d965195d205679d4ffc542331753892d00016981260fd210a652f5a840f9cebd,8000,no
설명,6,자세히 안내드릴게요.,tts-bucket-250810,설명/06.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/06.wav,설명/5cdbd196eb2b4acba43b579730c2305a_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/5cdbd196eb2b4acba43b579730c2305a_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035639Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=33a6f87447a412bbe7123367f2c2027c5c5b12790088c16ddbe34633509b8325,8000,no
설명,7,"참고로, 이 부분은 이렇게 이해하시면 됩니다.",tts-bucket-250810,설명/07.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/07.wav,설명/3350c3e67772438e9e16abc62c146ff4_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/3350c3e67772438e9e16abc62c146ff4_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250911%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250911T035639Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=7a35c56d5523fe273a87052a314fd4238ed96c59fd08a87f97a0c46a9ecfdc9b,8000,no
