"utterance_hash","locale","alias_of","approval_type","approved_by","audio_s3_uri","cached_text","chatbot_response","contact_id","created_at","inbox_id","key_type","legacy_hash","migrated_at","migrated_from","normalized_at","normalized_utterance","notes","num_hits","original_utterance","response_hash","status","tts_text","updated_at"
"e70218714247b3f0","ko-KR","","chatbot_response","batch_approval_script","s3://tts-bucket-250810/ko-KR/e70218714247b3f0.wav","지금은 정식 업체 맞아요?","지금은 정식 업체 맞아요","test-1296","1758869117","800467e318ed48fe9f10dd4bc50342a5","","","","","","","batch approval - user hash cache","0","지금은 정식 업체 맞아요?","e70218714247b3f0","approved","","1759194327"
"c2ea99cb9179e545","ko-KR","","chatbot_response","batch_approval_script","s3://tts-bucket-250810/ko-KR/a7df858ca760fdb6.wav","알겠습니다! 간단한 정보 문자로 보내드릴게요. 감사합니다!","알겠습니다! 간단한 정보 문자로 보내드릴게요. 감사합니다","test-517","1758865356","66aa715fa1ca4d4eb70feef4caac08b0","","","","","","","batch approval - user hash cache","0","실례지만 이번에는 패스할게요","a7df858ca760fdb6","approved","","1759194669"
"45856337b65c29c1df6c5971f212e9b0aa84378f61ec563610292ace327b62a7","ko-KR","4ce9702adcffbc3c","","backfill_response_hash_rows","s3://tts-bucket-250810/ko-KR/45856337b65c29c1df6c5971f212e9b0aa84378f61ec563610292ace327b62a7.wav","다이렉트 가입은 사고 이력이 적은 고객님께 가능합니다. 사고건이 많거나 특별한 경우는 오프라인으로 가입할 수 있습니다. 필요하신 조건이나 상세 내용은 언제든지 문의 주세요!","다이렉트 가입은 사고 이력이 적은 고객님께 가능합니다. 사고건이 많거나 특별한 경우는 오프라인으로 가입할 수 있습니다. 필요하신 조건이나 상세 내용은 언제든지 문의 주세요","","1758857773","","response","","","","","","","","","","approved","다이렉트 가입은 사고 이력이 적은 고객님께 가능합니다. 사고건이 많거나 특별한 경우는 오프라인으로 가입할 수 있습니다. 필요하신 조건이나 상세 내용은 언제든지 문의 주세요!","1759192931"
"d28c13028d0aaf6d7e59ded3a41097257452f46605ff43437bae4a981c1b7bda","ko-KR","8db647e9da2d49fd","","backfill_response_hash_rows","s3://tts-bucket-250810/ko-KR/d28c13028d0aaf6d7e59ded3a41097257452f46605ff43437bae4a981c1b7bda.wav","원하실 때 언제든지 연락 주시면 됩니다. 제 번호 저장해 두시고 필요하실 때 연락 주세요!","원하실 때 언제든지 연락 주시면 됩니다. 제 번호 저장해 두시고 필요하실 때 연락 주세요","","1758768536","","response","","","","","","","","","","approved","원하실 때 언제든지 연락 주시면 됩니다. 제 번호 저장해 두시고 필요하실 때 연락 주세요!","1759192941"
"671073a939b46b99","ko-KR","","chatbot_response","batch_approval_script","s3://tts-bucket-250810/ko-KR/95d8c35f0656db84.wav","""네, 감사합니다! 언제든지 연락 주시면 빠르게 도와드리겠습니다. 문자로 간단한 정보 보내드릴게요. 좋은 하루 되세요!""","""네, 감사합니다! 언제든지 연락 주시면 빠르게 도와드리겠습니다. 문자로 간단한 정보 보내드릴게요. 좋은 하루 되세요""","test-114","1758858334","204c273b30774625b61dc516e284a3be","","","","","","","batch approval - user hash cache","0","어 나중에 전화드리겠습니다","95d8c35f0656db84","approved","","1759194681"
"6e9440d4e2872d83","ko-KR","","chatbot_response","batch_approval_script","s3://tts-bucket-250810/ko-KR/d9f65a43dbf87876.wav","당일 즉시 지급해드릴 수 있습니다. 고객님이 소개해주신 분이 가입하시면 다음날 바로 지급됩니다!","당일 즉시 지급해드릴 수 있습니다. 고객님이 소개해주신 분이 가입하시면 다음날 바로 지급됩니다","test-918","1758859276","c4589c99944544a29a7b4b9fbaac3856","","","","","","","batch approval - user hash cache","0","지금은 언제 받을 수 있어요?","d9f65a43dbf87876","approved","","1759194327"
"85d4087573689c29","ko-KR","","chatbot_response","batch_approval_script","s3://tts-bucket-250810/ko-KR/214a22096a3c0b2a.wav","""추가 비용은 전혀 없습니다! 보험료 비교견적 제공만으로 CU 모바일 상품권 5천원이 지급되며, 계약 성사 시 보험료의 7%가 지급됩니다. 궁금한 점 더 있으시면 언제든지 물어보세요!""","""추가 비용은 전혀 없습니다! 보험료 비교견적 제공만으로 cu 모바일 상품권 5천원이 지급되며, 계약 성사 시 보험료의 7%가 지급됩니다. 궁금한 점 더 있으시면 언제든지 물어보세요""","test-127","1758861199","1c68a38822b040f8ac3edee3811354ee","","","","","","","batch approval - user hash cache","0","실례지만 추가 비용은 없는지 알려주세요","214a22096a3c0b2a","approved","","1759194328"
"ac542cef7de2ab8d","ko-KR","","chatbot_response","batch_approval_script","s3://tts-bucket-250810/ko-KR/c23d0a5e587609ad.wav","안녕하세요~ 차집사 상담원입니다. 고객님들 자동차보험을 연결해주시면 **다이렉트 금액**으로 진행하고 최대 **7% 수수료**를 다음날 바로 지급해드립니다.","안녕하세요~ 차집사 상담원입니다. 고객님들 자동차보험을 연결해주시면 **다이렉트 금액**으로 진행하고 최대 **7% 수수료**를 다음날 바로 지급해드립니다","test-592","1758869968","4c9a975605144c1aa879cf45906baf98","","","","","","","batch approval - user hash cache","0","""실례지만 네, 말씀하세요.""","c23d0a5e587609ad","approved","","1759194328"
"b16139f21de8cac20e4b0f61aeb33413e57bf96f23874e8e0692f02901bcf26f","ko-KR","05cd3b2a82b9f99f","","backfill_response_hash_rows","s3://tts-bucket-250810/ko-KR/b16139f21de8cac20e4b0f61aeb33413e57bf96f23874e8e0692f02901bcf26f.wav","""네, 차집사는 인증된 다이렉트 보험 비교견적 회사입니다. 삼성과 제휴하여 신뢰할 수 있는 서비스를 제공하고 있습니다. 추가 질문 있으시면 언제든지 말씀해 주세요!""","""네, 차집사는 인증된 다이렉트 보험 비교견적 회사입니다. 삼성과 제휴하여 신뢰할 수 있는 서비스를 제공하고 있습니다. 추가 질문 있으시면 언제든지 말씀해 주세요""","","1758858385","","response","","","","","","","","","","approved","""네, 차집사는 인증된 다이렉트 보험 비교견적 회사입니다. 삼성과 제휴하여 신뢰할 수 있는 서비스를 제공하고 있습니다. 추가 질문 있으시면 언제든지 말씀해 주세요!""","1759192957"
"95fcd8f342e7b5604c083b36322a5f4d64d34abf2d25afffe8f2260512e952db","ko-KR","64c9cb49880f8c99","","backfill_response_hash_rows","s3://tts-bucket-250810/ko-KR/95fcd8f342e7b5604c083b36322a5f4d64d34abf2d25afffe8f2260512e952db.wav","안녕하세요!  차집사 김은주입니다. 자동차보험 연결해주시면 광고비로 최대 7% 지급해드려요. 관심 있으신가요?","안녕하세요! 차집사 김은주입니다. 자동차보험 연결해주시면 광고비로 최대 7% 지급해드려요. 관심 있으신가요","","1758869156","","response","","","","","","","","","","approved","안녕하세요! 차집사 김은주입니다. 자동차보험 연결해주시면 광고비로 최대 7 퍼센트 지급해드려요. 관심 있으신가요?","1759192969"
