_id,question,answer
1,"수술 1·2·3·4·5종이 각각 어떻게 다른가","보험사가 사용하는 수술분류표상의 3가지 분류를 말하며 좀 더 자세한 설명은 아래를 참고하십시오.
수술 1종: 비교적 경미한 수술을 말하며, 완치율이 높고 재발 가능성이 낮은 질병에 대하여 적용하고 있습니다. (예: 비골 관혈수술, 하지 정맥류 근본수술, 탈장 근본수술, 치질, 백내장·수정체 관혈수술 등)
수술 2종: 1종의 수술보다 복잡한 형태의 수술을 말합니다. (예: 골이식술, 요로 결석 치료를 위한 체외 충격파 쇄석술, 신경 관혈수술, 충수절제술, 만성 중이염 근본수술 등)
수술 3종: 1, 2종의 수술보다 복잡한 형태의 수술을 말합니다. (예: 피부이식술, 두개골 관혈수술, 사지 절단술, 비장 절제술, 갑상선·부갑상선 절제술, 담낭·담도 관혈수술 등)
수술 4종: 1, 2, 3종의 수술보다 복잡한 형태의 수술을 말합니다 (예: 종격종양 적출술, 위 절제술, 소장·결장·직장·장간막 관혈수술, 관혈적 척수종양 적출술 등)
수술 5종: 수술을 하지 않으면 생명의 위협까지 올 수 있는 심각한 수술을 말합니다. (예: 폐장·심장·간장·췌장·신장 등의 이식수술, 두개내 관혈수술 등)"
2,"건강보험에 가입해도 보상을 못 받는 경우가 있나","건강보험에 가입했더라도 보험금을 받지 못하는 경우가 있습니다. 보험금이 전혀 지급되지 않거나 혹은 보험금의 일부만 지급됩니다.
약관에서보상하지 않는 손해는 보장받을 수 없습니다.
연간 보장한도일을 넘는 의료비나 간병비는 보장받을 수 없습니다.
통원치료비를 보장받을 경우 5천원을 공제합니다.
상급병실을 이용할 때 기준병실료와의 차액은 지급하지 않습니다.
암은 가입 후 90일이 지나야만 보장받을 수 있습니다.
감액기간에는 약정된 보험금의 일부만 보상받을 수 있습니다.
가입시 보험사에 알린 내용이 실제와 다르면 보상받을 수 없습니다.
계약이 실효된 상태에서 발생한 질병에 대해서는 보상받을 수 없습니다."
3,"자궁근종수술 기왕증 시 건강보험 가입이 가능하나","자궁근종의 경우 보험가입이 거절되는 사항은 아닙니다. 다만 수술 후 1년 가량이 지나야 가입이 가능하며, 근종만 제거했는지, 자궁 전체를 적출했는지에 따라서 가입내용이 달라집니다. 근종만 제거한 경우에는 자궁(일부 보험사는 자궁뿐만 아니라 난소에 대해서도 부담보 조건으로만 가입이 가능함)에 대한 부담보 조건(해당 부위에 발생한 질병은 보장하지 않는 조건)으로 가입하실 수 있으며, 자궁 적출을 한 경우에는 부담보 없이 가입이 가능합니다. 하지만 정확한 가입 여부는 보험사에서 요구하는 서류를 첨부한 후 심사를 요청해 보아야 알 수 있습니다."
4,"건강보험은 어느 정도 가격대가 적당한가","건강보험의 보험료는 가입자의 연령, 성별, 보장항목과 보장금액에 따라 달라질 뿐만 아니라, 보험상품은 가입자의 필요와 상황에 맞추어 가입하는 개별 맞춤 상품이기 때문에 모든 가입자에게 적당한 가격대라는 것이 따로 있을 수 없습니다. 다만 보장성보험료에 대한 보험료 지출은 소득금액의 10%를 넘지 않는 것이 바람직하므로 건강보험보다 가입이 우선되는 보험상품의 보험료와 건강보험의 보험료를 합산한 총보장성 보험의 보험료 예산이 소득금액의 10%를 넘지 않는 선에서 보장내용과 가격대를 결정하시는 것이 좋습니다."
5,"신경정신과 치료 중인데 건강보험의 가입이 가능하나","신경정신과 치료를 받은 경우 보험가입이 어렵습니다. 따라서 보험가입이 필요하시다면 진단과 치료 전에 가입하셔야 합니다. 신경정신과 치료를 받았다고 해서 기존 보험계약에 변경이 발생하지는 않습니다. 다만 신경정신과치료에 대한 보험혜택을 받을 수는 없습니다."
6,"보험회사는 개인의 진료내역을 알고 있나","국민건강보험공단에서는 가입자의 병력에 대한 정보를 보험사에 제공하지 않습니다. 따라서 보험회사에서 전산조회로 개인의 과거 병원기록을 알 수는 없습니다. 다만 질병이나 재해(상해)로 인해 민간보험사의 보험금을 수령한 적이 있다면 해당 내용은 보험사별로 공유할 수 있기 때문에 확인이 가능합니다."
7,"암, 질병, 상해를 모두 보장 받을 수 있는 건강보험이 있나","질병(암 포함)과 상해를 모두 보장받을 수 있은 상품은 많습니다. 대부분의 건강보험 상품이 암을 포함한 질병과 상해에 대한 치료비를 보장합니다. 생명보험의 종신보험(또는 정기보험)상품도 특약을 통해 암을 포함한 질병과 상해에 대한 치료비를 함께 보장받을 수 있습니다."
8,"건강보험 가입시 최대한 납입보험료를 저렴하게 하는 방법은","건강보험 가입시 납입보험료를 최대한 적게 하는 방법은 아래와 같습니다.  
순수보장형으로 가입하십시오.
만기환급형 상품은 만기환급금으로 인하여 그만큼 보험료가 높습니다. 따라서 동일한 보장을 받으면서 보험료를 낮추는 방법은 만기환급금이 없는 순수보장형 상품으로 가입하는 것입니다.
순수보장형 상품이 없다면 환급률이 낮은 유형으로 가입하십시오.
만기환급률이 높은 상품은 그만큼 보험료가 높습니다. 따라서 순수보장형 상품이 없다면 만기환급률이 낮은 상품을 선택하는 것이 보험료를 최대한 낮출 수 있습니다.
납입기간을 최대한 길게 하십시오.
납입보험료는 납입기간이 길수록 낮고, 짧을수록 높습니다. 보험기간보다 짧게 납입하는 보험은 보험료 완납 이후 인플레이션에 따라서 보험금의 가치가 감소될 수도 있으므로, 되도록이면 보험기간 동안 전기납으로 납입하는 것이 유리하다고 할 수 있습니다. 다만 대부분의 가입자는 경제활동기간동안 보험료 납입을 완료하기를 원하기 때문에 가장 많이 선택되는 납입기간은 20년(80세만기 상품 기준)입니다."
10,"건강보험과 암보험을 동시 가입할 필요가 있나","고액의 암진단금을 원하시면 동시에 가입하는 것이 좋습니다. 질병과 재해에 대한 치료비를 보장하는 건강보험도 특약을 통해서 암치료비를 추가로 보장받을 수 있지만, 가입할 수 있는 암진단금이 2천만원 정도이므로 고액의 진단금을 원하신다면 암보험으로 가입하는 것이 좋습니다. 암 진단을 받은 경우에 고액의 치료비뿐만 치료기간 중에 경제활동을 하지 못하기 때문에 치료비 이상의 부수적인 비용이 필요하다는 점을 고려하면 충분한 암진단금을 보장받는 것이 좋습니다."
11,"고혈압, 당뇨병력 환자도 건강보험의 가입이 가능하나","고혈압과 당뇨로 약을 복용하고 계시다면 복용 후 수치가 정상이라고 하더라도 건강보험의 가입은 어렵습니다."
12,"건강보험을 홈쇼핑에서 가입하는 것은 어떤가","보험상품은 가입자의 필요와 상황을 종합적으로 고려하여 가입하는 맞춤상품이기 때문에 홈쇼핑을 통하여 가입하는 것은 바람직하지 않습니다. 만일 홈쇼핑을 통한 건강보험 가입을 고려하고 있다면 아래와 같은 사항에 유의하셔야 합니다.
홈쇼핑을 통하여 판매되는 보험상품은 가입자별 상황이나 필요를 고려하지 않고 누구에게나 동일하게 적용되는 규격화된 틀(플랜)에 맞추어 설계가 되어 있기 때문에 다른 종류의 상품을 구매하는 방식으로 가입할 경우 중복이나 과잉보장이 발생할 수 있습니다.
홈쇼핑의 경우 저렴한 보험료나 판매상품의 이점만을 지나치게 강조하고, 보장내용을 지나치게 부풀려서 강조(최대보장금액만 강조)하는 등 소비자를 오인케 할 수 있는 방식과 내용으로 가입을 유도하는 경향이 있으므로 소비자의 주의가 요구됩니다.
홈쇼핑을 통하여 건강보험에 가입할 경우에는 책임있는 계약관리자가 따로 없기 때문에 가입한 보험상품과 관련된 전문가의 도움을 받기 어렵다는 단점이 있습니다. 건강보험은 보통 20년 이상 납입을 하고, 80세까지 오래도록 보장을 받는 상품이기 때문에 적절한 가입못지 않게 가입후의 사후관리 또한 중요하다고 볼 수 있습니다."
13,"건강보험과 민영의료보험을 동시에 가입하는 것이 유리하나","건강보험 상품과 민영의료보험 상품은 보상방식이 서로 달라 함께 가입할 경우 어느 한 쪽에서 보상받지 못하는 경우에는 다른 쪽에서 보상받을 수 있고, 양쪽 모두 보상을 받을 수 있는 경우에는 중복하여 보상받을 수 있다는 이점이 있습니다. 하지만 두 가지 상품을 함께 가입하면 납입보험료의 부담이 커질 수 밖에 없고, 어느 한 쪽만 가입해도 충분한 위험보장이 가능하기 때문에 꼭 함께 가입할 필요는 없습니다."
