_id,question,answer
1,"수술 1·2·3·4·5종이 각각 어떻게 다른가","보험사가 사용하는 수술분류표상의 3가지 분류를 말하며 좀 더 자세한 설명은 아래를 참고하십시오.
수술 1종: 비교적 경미한 수술을 말하며, 완치율이 높고 재발 가능성이 낮은 질병에 대하여 적용하고 있습니다. (예: 비골 관혈수술, 하지 정맥류 근본수술, 탈장 근본수술, 치질, 백내장·수정체 관혈수술 등)
수술 2종: 1종의 수술보다 복잡한 형태의 수술을 말합니다. (예: 골이식술, 요로 결석 치료를 위한 체외 충격파 쇄석술, 신경 관혈수술, 충수절제술, 만성 중이염 근본수술 등)
수술 3종: 1, 2종의 수술보다 복잡한 형태의 수술을 말합니다. (예: 피부이식술, 두개골 관혈수술, 사지 절단술, 비장 절제술, 갑상선·부갑상선 절제술, 담낭·담도 관혈수술 등)
수술 4종: 1, 2, 3종의 수술보다 복잡한 형태의 수술을 말합니다 (예: 종격종양 적출술, 위 절제술, 소장·결장·직장·장간막 관혈수술, 관혈적 척수종양 적출술 등)
수술 5종: 수술을 하지 않으면 생명의 위협까지 올 수 있는 심각한 수술을 말합니다. (예: 폐장·심장·간장·췌장·신장 등의 이식수술, 두개내 관혈수술 등)"
2,"소멸형과 환급형은 어떤 차이가 있나","환급형은 만기에 납입보험료의 전부 또는 일부를 돌려주는 대신 보험료가 비싸지만, 순수보장형(또는 소멸형)은 만기에 납입보험료를 전혀 돌려주지 않는 대신 보험료가 저렴합니다. 환급형과 순수보장형 상품간 보장내용이 다른 것은 아닙니다. 다만 상품에 따라서 납입기간이나 보험가입가능연령에 차이를 두는 경우도 있습니다. 만기에 돌려받는 돈이 없더라도 보험료 납입기간 동안 납입부담을 최소화하기를 원하신다면 순수보장형이 적당하며, 보험료를 더 내더라도 납입보험료를 손해 보고 싶지 않다면 환급형이 적당합니다."
3,"보험금 수령후 해약시 환급금 달라지나","해약환급금은 보험계약의 해약, 효력상실, 해제 등의 경우에 책임준비금에서 일정한 해약공제를 하고 난 잔액으로 계약자에게 환급되는 금액을 말합니다. 여기서 책임준비금이란 계약자가 납입한 보험료중 일정액을 회사가 적립하도록 규정되어 있는 법정적립금을 말합니다. 그러므로 해약환급금은 보험금에 해당하는 보험료를 제외하고 지급하는 방식이 아니므로 보험금을 수령했다고 해서 해약환급금이 달라지는 것은 아닙니다."
4,"뇌출혈과 뇌경색은 어떻게 다르나","뇌출혈은 뇌혈관이 터져서 발생하는 증상을 말하고, 뇌경색은 뇌혈관이 막혀서 발생하는 증상을 말합니다. 뇌출혈과 뇌경색을 통틀어 뇌졸중이라고 하는데 서양에서는 뇌경색이 75% 정도 더 높게 발생하고 있으나, 대한민국, 중국, 일본에서는 뇌출혈이 더 많거나 혹은 절반씩 발생하고 있습니다. 일부 건강보험 상품에는 뇌질환을 보장한다면서 뇌경색은 제외하고 뇌출혈만 보장하는 경우도 있으므로 가입하기 전에 잘 파악해야 됩니다."
5,"보험금지급청구권의 소멸시효는","보험금 지급 청구권의 소멸시효는 사고발생일로부터 2년입니다. 따라서 보험사고 발생일로부터 2년 이내메만 보험금을 청구하면 보험금을 받을 수 있지만, 2년이 경과되면 권리가 소멸되어 보험금을 청구할 수 없습니다. 보험금청구권 이외의 보험가입자의 보험사에 대한 권리는 통상 2년이며, 보험사의 보험가입자에 대한 권리는 통상 1년입니다."
6,"보험계약자, 피보험자, 보험수익자란","보험계약자는 단순히 보험료를 납입하는 사람입니다. 따라서 보험 사고와는 관계가 없지만, 연말정산시 소득공제 혜택의 대상이 되며, 만기환급금 및 해약환급금, 배당금을 받을 권리가 있습니다.
피보험자는 보험금 지급 조건의 대상자입니다. 즉 보험금의 지급은 피보험자의 사고 유무에 따라 결정됩니다.
보험수익자는 보험금을 받을 수 있는 사람이며, 만기시 수익자, 입원 및 상해시 수익자, 사망시 수익자로 구분됩니다. 특별히 보험수익자를 지정하지 않으면 만기시에는 계약자, 입원시에는 피보험자, 사망시에는 법정상속인이 수익자가 됩니다. 계약자와 만기시 보험수익자가 다를 경우에는 증여세가 부과될 수 있습니다."
7,"보험료 납입기간은 어느 정도가 적당한가","보험기간보다 짧게 납입하는 보험은 보험료 완납 이후 인플레이션에 따라서 보험금의 가치가 감소될 수도 있으므로, 되도록이면 보험기간 동안 전기납으로 납입하는 것이 유리하다고 할 수 있습니다. 왜냐하면 인플레이션으로 보험금의 가치가 떨어질 수도 있겠지만, 그럴 경우 마찬가지로 납입하는 보험료의 가치도 낮아지기 때문입니다.
또한 보험료 납입기간을 길게 하면 총납입보험료는 더 많아지지만 물가상승에 따른 보험료가치 하락과 차액분에 대한 기회비용을 감안하면 총납입보험료 자체가 많다고 하여 가입자에게 불리한 것은 아닙니다. 따라서 보험료 납입기간은 가급적 길게 하는 것이 좋습니다. 다만 대부분의 가입자는 경제활동기간동안 보험료 납입을 완료하기를 원하기 때문에 가장 많이 선택되는 납입기간은 20년(80세만기 상품기준)입니다."
8,"전화로 보험가입시 자필서명이 면제되나","보험업감독규정 제4-37조 '전화를 이용한 모집시 자필서명 면제' 규정에 따라 전화를 통한 가입이 가능한 상품으로 가입하는 경우에는 음성녹취를 통한 가입동의가 자필서명을 대신하기 때문에 자필서명을 하지 않아도 됩니다. 다만 전화를 통한 가입이라도 해도 계약자와 피보험자가 다른 경우에는 반드시 자필서명을 해야 합니다."
9,"청약철회 및 품질보증 제도란","청약철회 제도란 보험가입자가 청약일로부터 15일 이내에 청약을 마음대로 철회할 수 있는 것을 말합니다. 보험사의 가까운 지점에 직접 방문하거나 우편으로 신청합니다. 신청시에는 청약서부본을 반납해야 합니다. 우편의 경우 서류도착일 기준이 아니고 소인날짜를 기준으로 청약철회 신청일을 계산합니다.
품질보증 제도란 보험상품에 대해 설명을 받지 못했거나 약관 및 청약서부본을 전달받지 못한 경우에 계약일 기준 3개월 이내에 청약을 철회할 수 있는 것을 말합니다."
10,"실효된 계약을 부활시키는데 왜 연체이자를 내야 하나","보험은 다수의 계약자로 부터 보험료를 납입 받아 상부상조하는 제도인데, 보험사에서 가입자가 낸 보험료만을 적립하여서는 고액의 약정보험금을 지급하기는 어려우므로 가입자가 납입한 보험료를 보험금 지급을 위한 재원으로 운용하고 있습니다.
따라서 정해진 기일내에 보험료가 납입되지 않으면 보험사는 계획했던 투자의 기회를 잃게 되며 보험기간 만료시 약정했던 보험금을 지급하지 못하게 될 수도 있습니다. 이러한 이유로 인하여 보험사에서는 가입자가 납입한 보험료를 안전하게 운용하여 약정된 보험금을 지급하기 위해서는 부득이 보험료 납입이 연체되어 실효된 후 부활되는 계약에 대해서는 이자를 받을 수 밖에 없습니다. 부활시 연체이자 납입에 대한 내용은 가입자가 가입한 보험의 약관을 통해서 확인할 수 있습니다."
