_id,question,answer
1,"암보험에서 고액암진단비와 일반암진단비의 차이는","암진단비 보장은 기타피부암, 상피내암, 경계성종양을 제외한 나머지 모든 암에 대하여 진단금을 보장하는데 반해, 고액암진단비 보장은 뇌암, 골수암, 혈액암(백혈병) 등 발병률은 낮지만, 치료비가 많이 소요되는 몇가지 암에 대한 진단비를 고액으로 보장합니다.(기타피부암, 상피내암, 경계성종양은 별도로 진단금을 보장합니다) 보통 암보험 상품에서는 고액암에 대한 진단금으로 일반암에 비해 2배의 금액을 보장합니다.
  암보험 가입시 일반암과 고액암을 모두 보장하는 상품에 가입했다면 최초 고액암 이외의 암으로 진단을 받는 경우에는 일반암 진단금만 지급이 되며, 추후 고액암으로 다시 진단을 받는다면 고액암 진단금에서 이미 지급된 일반암 진단금을 제외한 금액을 수령할 수 있습니다. 반대로 최초 고액암으로 진단을 받았다면 고액암 진단금에 해당하는 금액(일반암 진단금의 2배)이 지급되며, 추후 일반암으로 다시 진단을 받는다고 해도 별도의 보험금이 지급되지 않습니다.(고액암 진단금은 일반암 진단금에 추가 진단금을 지급하는 것으로 보기 때문에 고액암 진단금을 초과하는 진단금은 지급되지 않음) 고액암은 치료비가 많이 소요되긴 하지만 발병률이 낮기 때문에 암보험은 일반암 진단금을 고려하여 선택하는 것이 좋습니다."
2,"암 진단 확정 시 보험금 청구서류 및 절차","암보험가입 후 암으로 진단확정시 보험금을 청구하기 위해서 공통적으로 필요한 서류는
보험금 청구서(보험사 양식)
암 진단서
신분증사본
기타 보험금을 받는 자(보험금수익자)가 보험금 등의 수령에 필요하여 제출하는서류
등이며, 구체적인 필요서류는 보험사마다 다를 수 있으므로 보험금청구사유 발생시 저희 인슈넷FC이나 보험사를 통하여 문의하여 주시기 바랍니다."
3,"암진단금을 지급받으면 암보험 계약은 종료되나","진단금을 지급받은 후 보장금액이 남아있느냐 그렇지 않으냐, 암보험의 종류가 보험료 소멸형이냐 환급형이냐에 따라 다릅니다.
보험료 소멸형: 진단금을 받은 후 보장금액이 남아 있지 않다면 계약은 종료됩니다. 그러나 진단금을 받은 후에도 보장금액이 남아 있다면 계약은 지속됩니다. 예를 들어 일반암과 고액암을 모두 보장하는 상품인데 일반암 진단금만 지급되었다면 계약은 지속되다가 차후 고액암으로 진단되면 그 때 고액암 진단금에서 일반암 진단금이 차감 지급되고 계약이 종료됩니다. 물론 고액암이 발생하지 않는다면 만기일까지 보험계약이 지속됩니다. 종합형 암보험을 예로 든다면 일단 진단금을 받은 후 수술, 입원, 치료 등의 사유가 발생할 때마다보험금을 지급받으면서 만기일까지 계약은 지속됩니다.
보험료 환급형: 진단금을 받은 후 보장금액이 남아 있지 않더라도 계약은 만기일까지 지속됩니다. 따라서 보험가입자는 더 이상 보장받을 것이 없으므로 중도 해지를 하여 해지환급금을 받거나 또는 만기일까지 기다렸다가 만기환급금을 받을 수 있습니다. 어느 방안이 유리한 지는 암 진단금을 받은 시점에서 보험만기일까지 남은 기간을 고려하여 보험가입자가 판단할 문제입니다.
[참고] 암으로 진단되어 진단금을 지급받게 되면 보험료 소멸형 상품이든 보험료 환급형 상품이든 불문하고 모두 보험료 납입을 면제받게 됩니다."
4,"암보험에서 고액치료비암이란","고액치료비암이란 치료비가 고액으로 들어가는 암을 말하는데, 보험사마다 그 종류가 다릅니다. 일반적으로 뇌종양, 백혈병, 골수암 등 3대 암을 지칭하며, 어떤 보험사는 여기에 췌장암, 식도암을 추가하여 5대 암이라고 말하기도 합니다."
5,"암보험 가입시 고지의무를 위반하면 어떻게 되나","과거병력이나 현재의 건강상태를 보험사에 고지를 하지 않았을 경우 보험사에서는 계약을 해지하거나 보장을 제한할 수 있습니다. 참고로, 보험가입 후 보험금 지급사유가 발생하지 않고 2년이 경과한 이후에는 고지의무를 위반하였다 하더라도 명백한 사기에 의한 계약이 아니라면 보험금을 지급받을 수 있습니다."
6,"암보험에서 경계성종양은 왜 진단금이 적나","간단한 치료로 완치되기 때문에 그렇습니다. 경계성종양은 양성 또는 악성 중 어느 방향으로 진행될지 모르는 경계 상태를 말하는데, 간단한 수술로 완치할 수 있습니다."
7,"B형간염보균자인 경우 암보험 가입이 가능한가","B형 간염 보균자는 건강진단을 통해 비활동성으로 확인된 경우에 한해 간에 대한 부담보 조건(간에 발생한 질병에 대해서는 보장하지 않는 조건)으로 암보험 가입이 가능합니다. 개별적인 가입 여부는 보험전문가와 상의하는 것이 좋습니다."
8,"암보험에 가입해도 보상을 못 받는 경우가 있나","암보험에 가입했더라도 보험금을 받지 못하는 경우가 4가지 있습니다. 4가지 중에서 3가지 경우는 보험금을 전혀 받지 못하며 1가지 경우는 보험금을 절반만 받을 수 있습니다.
가입 후 90일까지는 보험금을 전혀 받을 수 없습니다.
암보험은 효력이 발생하는데 90일의 대기기간을 두고 있습니다. 따라서 암보험에 가입한 후 90일이 지난 후 암으로 진단받는 경우에만 보험금을 지급합니다.
가입 후 1년~2년까지는 보험금의 절반만 받을 수 있습니다.
암보험은 보험가입 후 1년~2년까지는 보험금을 감액 지급하는 기간이 있습니다. 이 기간 동안에 암으로 진단되면 약정된 보험금의 절반만 지급합니다.
가입??보험사에 알린 내용이 실제와 다르면 보상받을 수 없습니다.
암보험에 가입할 때 보험사가 질문하는 내용이 있습니다.사실과 다르게 대답하면 암으로 진단되더라도 보험금 지급이 거절될 수 있습니다.
실효 상태에서 암으로 진단되면 보험금을 받을 수 없습니다."
9,"보험사에서 가입 희망자의 병력을 조회하는가","보험가입시 보험회사에서 전국병원의 보험가입 희망자의 병력을 조회하지 않습니다. 다만, 보험가입희?좇渼?보험가입시 과거와 현재의 건강상태를 반드시 고지하여야 하며, 이는 보험사가 인수를 결정하는데 직접적인 요소로 작용합니다. 뿐만 아니라 보험금 지급사유가 발생했을 경우 보장여부와 직접적인 관련이 있습니다."
10,"허리디스크를 앓고 있으면 암보험 가입에 제한있나","암보험의 경우에는 디스크 수술이 직접적인 가입제한 사유는 아니므로 보험사에 수술 사실을 고지하고 심사를 받으면 됩니다. 개별적인 가입 가능여부에 대해서는 보험전문가와 상의하는 것이 좋습니다."
11,"암보험 가입시 가족의 암경력도 고지의무 사항인가","가족의 암 병력은 보험사에 따라서 또는 가입상품에 따라서 가입 제한사항이 될 수 있습니다. 하지만 암보험 가입과정에서 고지해야 할 사항과 고지사항에 따른 가입심사 기준은 보험사마다 다릅니다. 또한 고지사항에 가족의 암병력에 대한 부분이 포함되어 있지 않다면 고지할 필요가 없으며, 보험가입에도 영향을 미치지 않습니다. 물론 가입 후 보험혜택에도 문제가 없습니다."
12,"암보험에서 상피내암은 왜 진단금이 적나","간단한 치료로 완치되기 때문에 그렇습니다. 상피내암은 상피 내에서만 발견되며, 간단한 수술로 완치할 수 있습니다."
13,"암보험료를 절약하는 방법은","암보험의 보험료는 보험사간에 큰 차이가 납니다. 아래에서 5가지 절약법을 참고하여 현명한 보험가입자가 되십시오.
보험료를 비교하여 저렴한 상품을 찾으십시오.
보험사별로 보험료의 원가에서 가장 크게 차이가 나는 부분이 사업비입니다. 예정사업비율이 낮은 상품을 찾으려면 부득이 여러 상품의 보장내용을 일치시킨 후 보험료를 비교해 보아야 합니다.
보장항목이 다양한상품보다는 진단금이 높은 상품을 선택하십시오.
암진단금이 높은 상품은 보험금도 클 뿐더러 암치료 방식도 자유롭게 선택할 수 있으며, 치료비 외에 부대비용이나 생활비도 충당할 수 있기 때문입니다.
주요 보장을 주계약에서 보장하는 상품을 선택하십시오.
암보험의 만기환급금은 대부분 주계약에 대한 보험료에 대해서만 적용하고, 특약에 대한 보험료에 대해서는 적용하지 않습니다. 따라서 특약을 많이 가입해야만 여러가지 보상을 받는 상품은 만기환급금이 적을 수 밖에 없습니다.
하루라도 빨리 가입하는 것이 유리합니다.
암보험료는 앞으로 계속 올라갈 가능성이 높습니다. 따라서 하루라도 빨리 암보험을 가입해야만 더 비싼 보험료를 부담하지 않게 됩니다.
유명 보험사를 무조건적으로 선호하지 마십시오.
보험료를 절약하려면 보험사의 브랜드에 대한 충성심을 버려야 합니다. 보험금은 약관에 따라 지급하고, 금융감독원, 소비자보호원, 예금자보호법 등의 안전장치가 있으므로 유명 보험사라고 무조건 선호하지 말고, 유리한 상품을 선택하는 것이 좋습니다."
14,"진단금을 더 많이 주는 암보험 상품이 따로 있나","보험료가 같다면 '진단형' 암보험이 '종합형'보다 진단금을 더 많이 지급합니다. 암보험은 '진단형'과 '종합형'으로 구분되는데, 진단형은 암으로 진단되면 고액의 진단금(예; 4천만원, 6천만원 등)을 일시에 지급합니다.종합형은 암으로 진단되면 저액의 진단금(예; 1천만원, 2천만원 등)을 지급하고 대신에 수술, 입원, 치료 등의 사유가 있을 때마다 보험금을 추가로 지급합니다. 암보험은 '종합형'보다는 '진단형'이 더 유용합니다. '진단형'은 암으로 진단되면 일시금을 받으므로 치료 방법과 자금의 활용도가 자유로운 반면, '종합형'은 미리 정해진 사유가 발생할 때만 보험금을 받을 수 있으므로 치료 방법이 제한되고 자금의 활용도가 부자유합니다."
15,"암보험은 생명보험사와 손해보험사 중 어느 쪽이 더 좋나",
