_id,question,answer
1,"어린이보험에서 보장하는 특정상병, 다발성질환, 특정질환","각 보험사가 임의로 지정하여 보상하는 질병을 말합니다. 보험사별로 달라질 수 있고, 한 보험사의 상품별로도 달라질 수 있습니다. 따라서 보험사의 상품별 약관을 참조해야만 정확히 파악할 수 있습니다. 예시를 하면 아래와 같습니다.
특정상병을 미래에셋생명의 분류표 기준으로 살펴보면 콜레라, 장티푸스 및 파라장티루스, 이질, 기타 세균성 식중독, 페스트,디프테리아, 발진티푸스, 황열, 마마 등을 말합니다.
다발성질환을 신한생명의 분류표 기준으로 살펴보면 특정감염성 및 기생충성 질환,중추신경계통의 염증성 질환, 폐성 심장병 및 폐순환의 질환, 기타 형태의 심장병, 폐렴, 천식, 충수의 질환, 헤르니아 등을 말합니다.
어린이, 청소년 특정질환을 동양생명의 분류표 기준으로 살펴보면 창자감염질환, 결핵, 피부 및 점막병터가 특징인 바이러스 감염, 폐성 심장질환 및 폐순환 질환, 기타 형태의 심장질환, 폐렴, 천식, 충수의 질환, 헤르니아 등을 말합니다."
2,"어린이보험은 어느정도 가격대가 적당한가","어린이보험은 가입자의 필요와 상황에 맞추어 가입하는 맞춤상품이기 때문에 적당한 보험료 수준이 따로 있는 것은 아닙니다. 다만 손해보험사의 어린이보험을 가입할 때는 적립보험료 수준을 가급적 높게 하지 않는 것이 좋으며, 생명보험사의 어린이보험의 경우 단독상품으로 가입할 때는 상관이 없지만 손해보험상품과 함께 가입할 경우에는 가급적 순수보장형 또는 환급률이 낮은 유형으로 가입하는 것이 좋습니다. 통상 어린이보험은 0세일때가 가장 비싸고 점차 저렴해 지다가 다시 비싸지는 형태를 취하고 있으며, 손해보험상품의 경우 0세에서 1세까지는 2만5천원에서 3만원 정도에 가입이 가능하고, 2세 이상일 경우에는 2만원에서 2만5천원 사이에서 가입할 수 있습니다."
3,"어린이보험에서 순수보장형과 환급형 중 어느 것이 좋나","만기환급형의 경우 위험에 대한 보장을 받으면서 만기시에 납입한 보험료의 대부분을 환급받을 수 있는 장점이 있으며, 순수보장형의 경우 돌려받는 돈이 없는 반면에 납입하는 보험료가 저렴합니다. 둘 중 어느 상품이 좋은지는 보험 가입희망자의 관점에 따라 달라지기 때문에 일괄적으로 판단하기는 어렵습니다."
4,"어린이보험 보장기간이 길수록 좋은가","어린이보험의 경우 어린이에게 특화된 보장내용이 많고, 만15세가 넘으면 성인이 가입하는 건강보험에 가입할 수 있기 때문에 보장기간이 길수록 좋은 것은 아닙니다. 어린이보험의 보험기간은 최소한 만기가 보험연령 기준으로 만15세 이후시점이 ?풩돈?하되, 가급적 20세 전후정도까지 보장을 받을 수 있도록 가입하는 것이 좋습니다."
수술 5종: 수술을 하지 않으면 생명의 위협까지 올 수 있는 심각한 수술을 말합니다. (예: 폐장·심장·간장·췌장·신장 등의 이식수술, 두개내 관혈수술 등)"
7,"홈쇼핑에서 어린이보험을 가입하는 것은 어떤가","보험상품은 가입자의 필요와 상황을 종합적으로 고려하여 가입하는 맞춤상품이기 때문에 홈쇼핑을 통하여 가입하는 것은 바람직하지 않습니다. 만일 홈쇼핑을 통한 어린이보험 가입을 고려하고 있다면 아래와 같은 사항에 유의하셔야 합니다.
홈쇼핑을 통하여 판매되는 보험상품은 가입자별 상황이나 필요를 고려하지 않고 누구에게나 동일하게 적용되는 규격화된 틀(플랜)에 맞추어 설계가 되어 있기 때문에 다른 종류의 상품을 구매하는 방식으로 가입할 경우 중복이나 과잉보장이 발생할 수 있습니다.
홈쇼핑의 경우 저렴한 보험료나 판매상품의 이점만을 지나치게 강조하고, 보장내용을 지나치게 부풀려서 강조(최대보장금액만 강조)하는 등 소비자를 오인케 할 수 있는 방식과 내용으로 가입을 유도하는 경향이 있으므로 소비자의 주의가 요구됩니다.
홈쇼핑을 통하여 어린이보험에 가입할 경우에는 책임있는 계약관리자가 따로 없기 때문에 가입한 보험상품과 관련된 전문가의 도움을 받기 어렵다는 단점이 있습니다. 어린이보험은 보통 10년 이상 납입을 하고, 오래도록 보장을 받는 상품이기 때문에 적절한 가입못지 않게 가입 후의 사후관리 또한 중요하다고 볼 수 있습니다."
8,"어린이보험 보험료가 부담스러운데 납입보험료를 줄일 수 있나","현재 가입 중인 어린이보험의 납입보험료가 너무 높아 부담스럽다면 상황에 따라 아래의 방법으로 보험료 부담을 줄일 수 있습니다.
생명보험상품에 가입한 경우
생명보험상품의 경우 불필요한 특약을 제외하거나 주계약 보장금액을 감액하여 보험료 부담을 줄일 수 있습니다.
손해보험상품에 가입한 경우
만일 납입보험료 중 적립보험료가 불필요하게 높다면 적립보험료를 허용가능한 최저선으로 낮춤으로써 보험료 부담을 줄일 수 있습니다. 또한 불필요한 선택계약을 해지하거나 보장금액을 낮추어 보장보험료를 줄이는 것도 하나의 방법입니다.
태아 또는 출생후 바로 가입하여 보험료가 높은 경우
어린이보험은 태아때 가장 보험료가 높고 점차 보험료가 저렴해 집니다. 따라서 보험가입의 거절사유가 없다면 태아 때 가입한 상품을 해지하고 다시 재가입함으로써 보험료 부담을 줄일 수도 있습니다. 다만 태아때만 가입이 가능한 선천이상수술비 보장 등은 재가입을 할 수 없다는 점에 유의해야 합니다."
9,"뇌수막염으로 입원한 경우 어린이보험 가입이 가능하나","병력이 있는 경우에는 보험가입에 제한이 있을 수 있습니다. 뇌수막염의 경우에는 완치가 입증되어야 할 뿐만 아니라 완치 후 일정기간이 지나야 가입이 가능할 수 있습니다. 가입에 대한 제한은 보험사마??다르기 때문에 전문가와 상의하는 것이 좋습니다."
10,"어린이보험료를 절약하는 방법은","어린이보험의 보험료는 보험사간에 큰 차이가 납니다. 아래에서 5가지 절약법을 참고하여 현명한 보험가입자가 되십시오.
보험료를 비교하여 저렴한 상품을 찾으십시오.
보험사별로 보험료의 원가에서 가장 크게 차이가 나는 부분이 사업비입니다. 예정사업비율이 낮은 상품을 찾으려면 부득이 여러 상품의 보장내용을 일치시킨 후 보험료를 비교해 보아야 합니다.
보험기간 만료시의 만기환급률이 높은 상품을 선택하십시오.
어린이보험은 대개 보험료 환급형 상품인데, 가입할 때는 꼭 만기환급률을 확인하십시오. 일부 보험사는 만기환급률이 100%이지만, 일부 보험사는 50%에 불과한 경우도 있습니다.
주요 보장을 주계약에서 보장하는 상품을 선택하십시오.
어린이보험의 만기환급금은 대부분 주계약에 대한 보험료에 대해서만 적용하고, 특약에 대한 보험료에 대해서는 적용하지 않습니다. 따라서 주요 보장을 주계약에서 보장하는 상품이 만기환급률이 높습니다.
하루라도 빨리 가입하는 것이 유리합니다.
어린이보험료는 앞으로 계속 올라갈 가능성이 높습니다. 따라서 하루라도 빨리 어린이보험을 가입해야만 더 비싼 보험료를 부담하지 않게 됩니다.
유명 보험사를 무조건적으로 선호하지 마십시오.
보험료를 절약하려면 보험사의 브랜드에 대한 충성심을 버려야 합니다. 보험금은 약관에 따라 지급하고, 금융감독원, 소비자보호원, 예금자보호법 등의 안전장치가 있으므로 유명 보험사라고 무조건 선호하지 말고, 유리한 상품을 선택하는 것이 좋습니다."
13,"모세기관지염 병력은 어린이보험을 언제부터 가입 가능한가","모세기관지염에 대한 예후기간은 보험사마다 다르지만, 치료기간이 1주일 이내인 경우에는 일반적으로 최소 3개월 이상입니다.(최소 6개월 이상인 보험사도 있습니다) 다만 치료회수가 2회 이상인 경우 더 길어질 수도 있습니다."
