_id,question,answer
1,"음주운전 사고시 형사합의금, 벌금, 방어비용 보상되나","음주운전 사고도 10대중과실사고에 포함되지만, 음주운전 중 사고에 대해서는 형사합의금, 벌금, 방어비용을 보상하지 않습니다. 10대 중과실 사고 중 무면허운전과 뺑소니 사고도 음주운전과 마찬가지로 형사합의금, 벌금, 방어비용을 보상받을 수 없습니다."
2,"운전자보험의 적정 보험료는 얼마인가","운전자보험의 적정 보험료가 따로 있는 것은 아닙니다. 가입자마다 필요로 하는 보장항목이나 수준이 달라질 수 밖에 없기 때문에 보험료도 그에 따라 달라질 수 밖에 없습니다. 다만 적립보험료가 과도하게 설정(만기환급률 99% 등)되어 있다면 적정한 보험료 수준이라고 보기 어렵습니다."
3,"일반상해담보와 교통상해담보 차이점","일반상해담보와 교통상해담보가 보장하는 내용은 아래와 같습니다.
일반상해담보는 교통사고뿐 아니라, 일상생활 중의 일어날 수 있는 골절, 화상 등도 보상하는 담보로서 교통상해담보에 비해 보장하는 범위가 넓고, 보험료가 비쌉니다.
교통상해담보는 교통사고로 인한 상해만을 보장하는데, 일반상해담보에 비해 보장하는 범위가 작고 보험료가 저렴합니다.
이처럼 상해담보 조건에 따라서 보장하는 범위와 보험료가 다르기 때문에 운전자보험을 가입하실 때는 꼼꼼하게 살펴보시고 본인에게 필요한 담보를 선택하시는 것이 필요합니다."
4,"소멸형과 환급형 운전자보험의 차이점은","소멸형 운전자보험은 보험료가 저렴하고 만기시 환급이 없는 것이 특징입니다. 하지만, 적립형 운전자보험에 비해 담보하는 보장내용 및 보장금액이 작으며, 중간에 사고가 발생한다면 재가입이 거절 될 수도 있습니다.
환급형 운전자보험은 보험기간이 3~15년인 상품으로 보험료가 소멸성 운전자보험에 비해 높지만, 보험료 중 일부분은 만기시에 돌려받을 수 있습니다. 그리고, 보장내용 및 금액도 소멸성 운전자보험보다 높아 사고시 충분한 보상이 이루어지며, 사고가 발생하더라도 정해진 보험가입기간 내에는 다른 사고도 보상이 가능합니다."
5,"운전자보험의 보험기간은 얼마로 해야 유리하나","운전자보험의 보험기간은 통상 3년, 5년, 10년, 15년, 20년이며, 상품에 따라서는 80세까지 보장이 가능한 상품도 있습니다. 운전자보험은 질병을 보장하는 상품보다는 재가입이 까다롭지 않지만, 상해보장에 있어서는 동일한 인수기준을 적용하기 때문에 보험기간을 너무 짧게 하여 가입할 경우 재가입이 어려운 상황이 발생할 수 있으므로 가급적 10년 이상의 기간을 정하여 가입하는 것이 좋습니다. 다만 법인체에서 직원을 피보험자로 하여 가입하는 경우에는 보험기간을 짧게 하여 가입해도 무방합니다."
6,"운전자보험을 홈쇼핑에서 가입하는 것은 어떤가","보험상품은 가입자의 필요와 상황을 종합적으로 고려하여 가입하는 맞춤상품이기 때문에 홈쇼핑을 통하여 가입하는 것은 바람직하지 않습니다. 만일 홈쇼핑을 통한 운전자보험 가입을 고려하고 있다면 아래와 같은 사항에 유의하셔야 합니다.
홈쇼핑을 통하여 판매되는 보험상품은 가입자별 상황이나 필요를 고려하지 않고 누구에게나 동일하게 적용되는 규격화된 틀(플랜)에 맞추어 설계가 되어 있기 때문에 다른 종류의 상품을 구매하는 방식으로 가입할 경우 중복이나 과잉보장이 발생할 수 있습니다.
홈쇼핑의 경우 저렴한 보험료나 판매상품의 이점만을 지나치게 강조하고, 보장내용을 지나치게 부풀려서 강조(최대보장금액만 강조)하는 등 소비자를 오인케 할 수 있는 방식과 내용으로 가입을 유도하는 경향이 있으므로 소비자의 주의가 요구됩니다.
홈쇼핑을 통하여 운전자보험에 가입할 경우에는 책임있는 계약관리자가 따로 없기 때문에 가입한 보험상품과 관련된 전문가의 도움을 받기 어렵다는 단점이 있습니다. 운전자보험은 장기간 보험료를 납입하고 보장을 받는 상품이기 때문에 적절한 가입못지 않게 가입 후의 사후관리 또한 중요하다고 볼 수 있습니다."
7,"10대중과실사고로 인한 형사합의금이나 벌금은 얼마나 되나","통상 사망사고에 대한 벌금은 3백만원에서 최고 2천만원까지 부과됩니다. 사망사고에 대한 형사합의금은 피해자와의 합의로 결정되는 금액이므로 통상적인 금액이 있다고 보기는 어렵습니다.
  운전자보험에서 보장하는 형사합의금은 상품마다 차이가 있으므로 가급적 높은 금액을 보장하는 상품을 선택하시는 것이 좋습니다. 벌금은 모든 운전자보험에서 최고 2천만원까지 동일하게 보장하므로 보험상품간 차이가 없습니다."
8,"운전자보험료를 절약하는 방법은","운전자보험료를 절약하는 방법 3가지를 소개하오니, 참고하시기 바랍니다.
보험상품 비교
운전자보험은 10개 손해보험사에서 모두 판매하고 있기 때문에 보험료를 절약하려면 우선 보험사간 상품비교를 통해서 가입하시는 것이 좋습니다. 다만 자동차보험과 달리 운전자보험은 동일한 조건으로 통일해서 비교할 수 없기 때문에 동일한 보장으로 맞추어 보험료만 비교하면 되는 것은 아닙니다.
꼭 필요한 보장만 선택하여 가입
운전자보험료를 절약하기 위해서는 불필요한 보장을 가입하지 않는 것이 중요합니다. 운전자보험에는 운전중 사망후유장해와 운전중 비용손해보장 이외에도 다양한 보장이 포함되어 있기 때문에 가입자에게 꼭 필요한 보장만을 선택하여 가입하는 것이 중요합니다. 또한 상해보장의 경우 다른 보험상품에서 이미 보장을 받고 있다면 기가입내용을 고려하여 필요한 수준까지만 가입하는 것이 좋습니다.
만기환급률을 낮추어 가입
운전자보험은 대부분 만기환급형 상품으로 구성되어 있으며, 적립보험료수준에 따라 만기환급금이 달라집니다. 따라서 만기환급률(금)을 크게 하면 납입보험료가 커질 수 밖에 없으며, 보험료를 절약하기 위해서는 만기환급금률을 99%에 맞추어 가입하는 식처럼 환급률을 과도하게 높혀서 가입하는 것은 적절하지 않습니다."
9,"부부형, 가족형 운전자보험 상품있나","운전자보험은 대개 피보험자 1인에 대해서 사고시 위험을 담보하지만, 보험상품에 따라서 부부 혹은 가족이 동시에 위험을 보장받을 수도 있습니다. 부부형 혹은 가족형 운전자보험을 가입하게 되면 보험료의 일부분을 할인 받는 장점이 있으나, 가입담보가 제한되는 경우도 있으니 자세한 내용은 가입하시는 보험사로 문의하십시오."
10,"운전자보험과 자동차보험 양쪽에서 모두 보상되나","제한적으로 가능합니다. 운전자보험과 자동차보험에서 모두 보상하는 손해는 아래와 같습니다.
사고를 낸 가해 운전자의 경우 본인에 대한 상해치료비를 자동차보험과 운전자보험에서 보상받을 수 있습니다.
피해자의 경우 가해 차량의 대인배상에서 치료비를 받으며, 만일 자신이 가입한 운전자보험에서 운전 중이 아닌 경우의 상해치료비도 보상한다면 역시 함께 보상받을 수 있습니다. 이것은 가해 차량에서 보상하는 금액이 피해자가 가입한 보험금이 아니라 배상책임에 따른 보상금이기 때문에 중복보상 금지와 관계가 없습니다.
다만 자동차보험과 같이 국민건강보험에 적용받지 않는 경우 운전자보험에서는 발생의료비의 50%만 지급하는 점을 유의하시기 바랍니다."
