_id,question,answer
1,"자동차보험의 의무보험 미가입시 과태료는","의무보험이란 차량의 소유주라면 법적으로 가입이 의무화 되어 있는 보험이며, 미가입시에는 관할 구청에서 과태료를 청구하게 됩니다. 비사업용(자가용) 의무보험 과태료는 미가입 기간이 10일 이내라면 15,000원, 10일 초과 매 1일당 6,000원이 추가되어 최고 한도 900,000원이 부과됩니다. 사업용(영업용) 의무보험 과태료는 미가입 기간이 10일 이내라면 65,000원, 10일 초과 매 1일당 18,000원이 추가되어 최고 한도 2,300,000원이 부과됩니다.
 구분
10일이내
10일초과
최고한도
비사업용
15,000원
매1일당 6,000원 추가
900,000원
사업용(영업용)
65,000원
매1일당 18,000원 추가
2,300,000원

차량운행을 안하더라도 의무보험인 책임보험(대인배상Ⅰ)과 대물배상 1천만원은 반드시 가입하기를 권해드립니다."
2,"리스차량이란 무엇인가","리스차는 캐피탈 등과 같은 금융회사 소유의 차량을 일정기간 동안 대여하는 차량을 말합니다. 고객은 리스차의 대여 대가로 리스회사에 매월 사용료를 지불하는 방식으로 리스계약이 이루어집니다.
  대체로 고소득의 전문직 종사자 또는 법인체가 세금감면을 목적으로 또는 특수한 사정으로 본인 소유임을 피하고 싶을 때 리스차량을 이용하는 경우가 많습니다. 리스계약 절차는 고객이 차량을 선택한 후 리스회사로 신청하면 리스회사는 자동차 제작회사에서 차량을 구매합니다. 리스회사에서는 사용기간, 사용료 등을 정해서 고객과 리스계약서를 작성하게 됩니다. 리스 사용기간이 종료되면 고객이 구매할지 반환할지를 선택하게 됩니다.
  자동차보험료는 매월 납입하는 리스료 안에 포함되는 경우가 대부분이며, 자동차보험은 자동차등록증상 소유자인 리스회사 명의로 가입하는 것이 아니라 리스계약서의 차량사용자 명의로 가입해야 합니다."
3,"무면허사고도 자동차보험에서 보상되나","무면허사고란
피보험자 본인이 무면허운전을 하여 발생한 사고와피보험자의 명시적.묵시적 승인하에서 피보험자동차의 운전자가 무면허운전을 하여 발생한 사고를 말합니다.
 무면허사고의보상처리
보험회사가 보험금을 지급하게 되는 경우에 피보험자는 무면허운전 사고부담금을 보험회사에 납입해야합니다. 피보험자가 경제적인 사정으로 사고부담금을 미납하였을때 보험회사는 피해자에게 손해배상액을 우선 지급하고 피보험자에게 사고부담금의 지급을 청구할 수 있습니다.
 무면허운전사고시 자기부담금 및 보상 여부 
보장 항목
자기부담금
보상 여부
대인배상Ⅰ
(책임보험)
1사고당 200만원
자기부담금 부담시 피해자의 부상 급수별한도금액 내에서 보상 가능함.
대인배상Ⅱ
  보상 불가
대물배상
1사고당  50만원
자기부담금 부담시 의무가입금액 1000만원 한도내에서 보상 가능함.
자기신체사고
(자동차상해)
  보상 가능
무보험차상해
  보상 불가
자기차량손해
  보상 불가"
4,"본인과실 사고시 동승자도 자동차보험에서 보상되나","동승한 동승자와의 관계에 따라서 다르게 보상됩니다. 동승자가 본인의 직계가족(부모, 배우자, 배우자의 부모, 자녀)일 경우에는 본인이 가입한 자동차보험의 자기신체사고에서 보상을 받을 수 있고, 형제, 친구 등 직계가족이 아닐 경우에는 대인배상에서 보상을 받을 수 있습니다. 다만, 대인배상의 경우 동승자 가 차에 탑승하게 된 원인에 대해 감액비율을 제하고 보상될 수 있으며, 동승자감액 비율은 다음과 같습니다.
동승자의 유형
운행목적
감액비율
운전자(운행자)의
승낙이 없는 경우
강요동승
무단동승
  100%
운전자의 승낙이
있는 경우
동승자의 요청
거의 전부 동승자에게
동승자가 주, 운전자는 종
동승자와운전자에게 공존, 평등
운전자가 주, 동승자는 종
50%
40%
30%
20%
상호의논 협의
동승자가 주, 운전자는 종
동승자와 운전자에게 공존, 평등
운전자가주, 동승자는 종
30%
20%
10%
운전자의 권유
동승자가 주, 운전자는 종
동승자와 운전자에게 공존, 평등
운전자가주, 동승자는 종
거의 전부 운전자에게
20%
10%
5%
0%
 "
5,"자차 보험처리시 자기부담금은 무엇인가","보험에 가입한 차량이 사고로 인하여 파손되었을 경우 차량 수리비중 일정금액은 보험회사가 보상하지 않고 계약자가 부담하도록 하는 제도입니다. 자기부담금은 보험처리시 결정되며, 자기차량손해액의20%로 결정됩니다. 자기부담금의 최저한도는 물적사고할증기준의 10%, 최고한도는 50만원입니다. 자기부담금액에 따라 자기차량손해의 보험료에 차이를 두고 있으며, 자기부담금이 클수록 보험료는 그만큼 저렴해지는 반면, 사고를 냈을 경우엔 자기부담금만큼 보험보상액이 줄어 가입자의 부담이 많아지게 됩니다.
  자기부담금은 운전자 스스로가 안전운전이나 방어운전 등으로 자신의 차량에 대하여 적절한 보호의식을 갖도록 함으로써 사고를 미연에 방지토록 하는데 그 목적이 있으며, 또한 소액 보험금의 청구로 인하여 발생하는 보험회사와 계약자의 비용낭비를 방지하는 것이 목적입니다."
6,"자동차보험료를 절약하는 방법은","자동차보험을 절약하는 10가지 방법은 다음과 같습니다. 각 항목별 상세한 내용은 하단의 "자동차보험료 절약법 Top 10"을 참고하시기 바랍니다.
자동차보험에 가입하기 전에 꼭 보험료 차이를 비교하십시오.
운전자의 범위를 가족 전체로 하지 말고 최대한 좁히십시오.
보험료를 분할하지 말고 일시납으로 내십시오.
개인소유 승용차는 가급적 '출퇴근 및 가정용'으로 가입하십시오.
