_id, label, question
1, "자동차보험", "음주운전 사고시 형사합의금 및 벌금 그리고 방어비용 보상되나"
2, "자동차보험", "운전자보험의 적정 보험료는 얼마인가"
3, "자동차보험", "소멸형과 환급형 운전자보험의 차이점은"
4, "자동차보험", "운전자보험의 보험기간은 얼마로 해야 유리하나"
5, "자동차보험", "운전자보험을 홈쇼핑에서 가입하는 것은 어떤가"
6, "자동차보험", "10대중과실사고로 인한 형사합의금이나 벌금은 얼마나 되나"
7, "자동차보험", "면허증이 없어도 가입이 가능한가"
8, "자동차보험", "오토바이를 타는 경우 가입 가능한가"
9, "자동차보험", "교통사고 발생시 형사처벌을 받는 12가지 유형"
10, "자동차보험", "보험사에서 다이렉트로 가입하는 것은 어떤가"
11, "자동차보험", "교통사고 후 보험처리를 하지 않으면 불이익이 있나"
12, "자동차보험", "무면허 운전 사고 시 보상 여부는 어떻게 되나"
13, "자동차보험", "다이렉트 보험과 대리점 보험의 차이점은 무엇인가"
14, "자동차보험", "자동차보험의 보상 범위는 어떻게 결정되나"
15, "자동차보험", "자차 보험을 처리할 때 자기부담금은 어떻게 산정되나"
16, "자동차보험", "자동차 보험료 할인 혜택은 무엇이 있나"
17, "자동차보험", "음주운전 사고 시 자동차보험의 혜택이 있나"
18, "자동차보험", "사고 후 보험사에 신고하는 절차는 무엇인가"
19, "자동차보험", "교통사고 시 대인배상과 대물배상의 차이점은"
20, "자동차보험", "자기신체사고와 자동차 상해 특약의 차이점은 무엇인가"
21, "자동차보험", "타인의 차를 운전하다 사고가 났을 때 보상 여부는"
22, "자동차보험", "자동차보험의 책임보험과 종합보험의 차이점은 무엇인가"
23, "자동차보험", "무보험 차량과 사고가 났을 때 보상은 어떻게 되는가"
24, "자동차보험", "자동차 사고 발생 시 과실비율은 어떻게 정해지나"
25, "자동차보험", "차량 도난 시 자동차보험에서 보상이 되는가"
26, "운전자보험", "한의원 치료비도 운전자보험에서 보상되나"
27, "운전자보험", "운전자보험 서로 다른 보험사로 중복 가입시 모두 보상되나"
28, "운전자보험", "운전자보험 가입할 때 고려해야 할 사항은"
29, "운전자보험", "피보험자 사망으로 인해 해약시 해약금 돌려받나"
30, "운전자보험", "대리운전자보험이란 무엇인가"
31, "운전자보험", "운전자보험 보장 항목"
32, "운전자보험", "자가용보다 영업용 차량의 보험료가 비싸나"
33, "운전자보험", "운전자보험 가입후 차량 교체시 보험사에 알려야 하나"
34, "운전자보험", "계좌이체로 하면 얼마나 할인되나"
35, "운전자보험", "형사합의를 반드시 해야하나"
36, "운전자보험", "면허증이 없어도 가입이 가능한가"
37, "운전자보험", "오토바이를 타는 경우 가입 가능한가"
38, "운전자보험", "운전자보험과 자동차보험의 차이점"
39, "운전자보험", "당뇨가 있는 경우 가입 가능한가"
40, "운전자보험", "운전자보험과 자동차보험을 같은 보험사에 가입하면 더 좋나"
41, "운전자보험", "운전자보험료는 자가용과 영업용에 따라 달라지나"
42, "운전자보험", "운전자보험과 생명보험 양쪽에서 모두 보상되나"
43, "운전자보험", "직업에 따라 운전자보험료가 달라지나"
44, "운전자보험", "질병이 있으면 운전자보험 가입이 힘든 이유"
45, "운전자보험", "보험금 청구시 준비할 서류는"
46, "운전자보험", "교통사고 후에도 일정기간 지나면 가입 가능한가"
47, "운전자보험", "방어비용과 형사합의금만 보장해주는 운전자보험 있나"
48, "운전자보험", "직업에 따라 운전자보험가입에 제한이 있나"
49, "운전자보험", "과거에 질병 상해 치료 경험시 가입 가능한가"
50, "운전자보험", "연령에 따라 운전자보험료 달라지나"
51, "건강보험", "건강보험에 가입하려면 어떤 절차를 밟아야 하나요?"
52, "건강보험", "건강보험으로 커버되는 치료 항목은 무엇인가요?"
53, "건강보험", "건강보험 가입 시 나이에 따라 보험료가 달라지나요?"
54, "건강보험", "기본 건강검진도 건강보험으로 받을 수 있나요?"
55, "건강보험", "실손보험과 건강보험의 차이점은 무엇인가요?"
56, "건강보험", "만성질환도 건강보험으로 혜택을 받을 수 있나요?"
57, "건강보험", "건강보험료는 매년 인상되나요?"
58, "건강보험", "특정 병원의 진료만 건강보험 혜택을 받을 수 있나요?"
59, "건강보험", "직장인과 자영업자의 건강보험료 차이는 어떻게 되나요?"
60, "건강보험", "외국인도 한국의 건강보험에 가입할 수 있나요?"
61, "건강보험", "건강보험의 상한선이 있나요?"
62, "건강보험", "건강보험으로 치과 치료도 받을 수 있나요?"
63, "건강보험", "국민연금과 건강보험의 관계는 무엇인가요?"
64, "건강보험", "건강보험 적용이 안 되는 질환은 어떤 것이 있나요?"
65, "건강보험", "건강보험료 계산 기준은 무엇인가요?"
66, "건강보험", "건강보험을 해지하려면 어떻게 해야 하나요?"
67, "건강보험", "건강보험료 납부가 늦어지면 어떤 불이익이 있나요?"
68, "건강보험", "건강보험 혜택을 받을 수 있는 나이 제한이 있나요?"
69, "건강보험", "건강보험으로 심리 치료도 받을 수 있나요?"
70, "건강보험", "건강보험의 자녀 가입 혜택은 어떻게 적용되나요?"
71, "건강보험", "건강보험과 실손보험을 함께 가입할 수 있나요?"
72, "건강보험", "건강보험 혜택을 받으려면 병원에서 어떤 절차를 따라야 하나요?"
73, "건강보험", "건강보험료를 자동이체로 납부할 수 있나요?"
74, "건강보험", "건강보험을 통한 병원비 환급 절차는 어떻게 되나요?"
75, "건강보험", "건강보험에서 지원하지 않는 병원비는 어떻게 처리하나요?"
76, "암보험", "암보험에서 고액암진단비와 일반암진단비의 차이는?"
77, "암보험", "암 진단 확정 시 보험금 청구서류 및 절차는?"
78, "암보험", "암진단금을 지급받으면 암보험 계약은 종료되나?"
79, "암보험", "암보험에서 고액치료비암이란 무엇인가?"
80, "암보험", "암보험 가입시 고지의무를 위반하면 어떻게 되나?"
81, "암보험", "암보험에서 경계성종양은 왜 진단금이 적은가?"
82, "암보험", "B형간염 보균자인 경우 암보험 가입이 가능한가?"
