original_utterance,normalized_utterance,chatbot_response,locale,audio_s3_uri,response_hash,utterance_hash,approval_type,approved_by,input_text,response_text,intent
혹시 7% 산정 기준이 어떻게 되나요,,"""7%는 고객님이 가입하신 자동차보험의 총 보험료를 기준으로 산정됩니다. 예를 들어, 보험료가 100만 원이면 소개료로 7만 원을 지급해드립니다. 추가 질문 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/9587d7c7dfa4911c.wav,9587d7c7dfa4911c,6368e380790d9a97,chatbot_response,batch_approval_script,혹시 7% 산정 기준이 어떻게 되나요,"""7%는 고객님이 가입하신 자동차보험의 총 보험료를 기준으로 산정됩니다. 예를 들어, 보험료가 100만 원이면 소개료로 7만 원을 지급해드립니다. 추가 질문 있으시면 말씀해 주세요""",fee_question
음 7% 산정 기준이 어떻게 되나요,,"""7%는 고객님이 가입한 보험료의 7%를 기준으로 지급됩니다. 예를 들어, 고객님이 100만 원짜리 보험에 가입하시면 7만 원이 지급됩니다""",ko-KR,s3://tts-bucket-250810/ko-KR/7f6612d518e56e27.wav,7f6612d518e56e27,17ffc268cb7905ee,chatbot_response,batch_approval_script,음 7% 산정 기준이 어떻게 되나요,"""7%는 고객님이 가입한 보험료의 7%를 기준으로 지급됩니다. 예를 들어, 고객님이 100만 원짜리 보험에 가입하시면 7만 원이 지급됩니다""",fee_question
7% 산정 기준이 어떻게 되나요,,"""7%는 고객님이 자동차보험을 다이렉트로 가입할 때, 저희를 통해 연결해주시면 발생하는 수수료입니다. 성사시 익일 지급해드리고 있습니다. 추가로 궁금하신 점 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/0c814257cacb93f4.wav,0c814257cacb93f4,3059fa369d232f3d,chatbot_response,batch_approval_script,7% 산정 기준이 어떻게 되나요,"""7%는 고객님이 자동차보험을 다이렉트로 가입할 때, 저희를 통해 연결해주시면 발생하는 수수료입니다. 성사시 익일 지급해드리고 있습니다. 추가로 궁금하신 점 있으시면 말씀해 주세요""",fee_question
잠깐만 왜 7%인지 근거가 있을까요,,"""7%는 고객이 가입한 보험료의 **소개료로 지급되는 비율**입니다. 이는 고객님과의 우정과 신뢰를 바탕으로 정해진 것으로, 많은 딜러님들이 만족하시는 비율입니다. 더 궁금한 점 있으시면 언제든지 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/643cf07e112fe272.wav,643cf07e112fe272,3c23b0950e45c24d,chatbot_response,batch_approval_script,잠깐만 왜 7%인지 근거가 있을까요,"""7%는 고객이 가입한 보험료의 **소개료로 지급되는 비율**입니다. 이는 고객님과의 우정과 신뢰를 바탕으로 정해진 것으로, 많은 딜러님들이 만족하시는 비율입니다. 더 궁금한 점 있으시면 언제든지 말씀해 주세요""",fee_question
어 왜 7%인가요?,,"""7%는 고객이 가입한 보험료의 일정 비율로, 소개해주신 딜러님께 지급되는 금액입니다. 고객님께 더 좋은 혜택을 제공하기 위해 설정된 비율입니다""",ko-KR,s3://tts-bucket-250810/ko-KR/0d69c4e59377977d.wav,0d69c4e59377977d,c4b24f6038c91503,chatbot_response,batch_approval_script,어 왜 7%인가요?,"""7%는 고객이 가입한 보험료의 일정 비율로, 소개해주신 딜러님께 지급되는 금액입니다. 고객님께 더 좋은 혜택을 제공하기 위해 설정된 비율입니다""",fee_question
잠깐만 7% 산정 기준이 어떻게 되나요,,"""7%는 고객이 가입한 자동차보험료의 총액을 기준으로 산정됩니다. 예를 들어, 고객님이 가입한 보험료가 100만원이면 7만원을 지급해드리는 구조입니다""",ko-KR,s3://tts-bucket-250810/ko-KR/415d174a048d5d4c.wav,415d174a048d5d4c,92c9a0eabeef3b83,chatbot_response,batch_approval_script,잠깐만 7% 산정 기준이 어떻게 되나요,"""7%는 고객이 가입한 자동차보험료의 총액을 기준으로 산정됩니다. 예를 들어, 고객님이 가입한 보험료가 100만원이면 7만원을 지급해드리는 구조입니다""",fee_question
지금은 7% 산정 기준이 어떻게 되나요,,"""7%는 고객이 보험가입을 진행할 때, 딜러님이 소개해 주신 경우에 보험료의 7%를 소개료로 지급해드립니다""",ko-KR,s3://tts-bucket-250810/ko-KR/5674696f1813bd44.wav,5674696f1813bd44,13878f369d40d836,chatbot_response,batch_approval_script,지금은 7% 산정 기준이 어떻게 되나요,"""7%는 고객이 보험가입을 진행할 때, 딜러님이 소개해 주신 경우에 보험료의 7%를 소개료로 지급해드립니다""",fee_question
어 왜 7%인지 근거가 있을까요,,"""7%는 보험료의 일부로, 고객이 보험에 가입할 때 제공되는 소개료입니다. 이 비율은 업계 표준에 맞춰 설정되었습니다. 추가적으로 궁금한 점 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/131d05ba1f33b655.wav,131d05ba1f33b655,d31362dad4186334,chatbot_response,batch_approval_script,어 왜 7%인지 근거가 있을까요,"""7%는 보험료의 일부로, 고객이 보험에 가입할 때 제공되는 소개료입니다. 이 비율은 업계 표준에 맞춰 설정되었습니다. 추가적으로 궁금한 점 있으시면 말씀해 주세요""",fee_question
음 왜 7%인지 근거가 있을까요,,"""7%는 시장에서 경쟁력 있는 수준으로 설정된 수수료입니다. 딜러님께서 고객을 소개해주시면, 저희가 직접 보험료의 7%를 지급해드리며, 이는 고객님들께 더 나은 혜택을 드리기 위한 결정이었습니다. 추가 궁금하신 점 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/5dab8bb8d32e9338.wav,5dab8bb8d32e9338,d63753a2c858826e,chatbot_response,batch_approval_script,음 왜 7%인지 근거가 있을까요,"""7%는 시장에서 경쟁력 있는 수준으로 설정된 수수료입니다. 딜러님께서 고객을 소개해주시면, 저희가 직접 보험료의 7%를 지급해드리며, 이는 고객님들께 더 나은 혜택을 드리기 위한 결정이었습니다. 추가 궁금하신 점 있으시면 말씀해 주세요""",fee_question
혹시 왜 7%인가요?,,"""7%는 저희 차집사에서 고객님들께 제공하는 매력적인 소개료입니다. 보험료의 7%를 지급해드리니, 고객님들께도 좋고 딜러님께도 유리한 조건입니다""",ko-KR,s3://tts-bucket-250810/ko-KR/81c6db83de731993.wav,81c6db83de731993,225254c211caf342,chatbot_response,batch_approval_script,혹시 왜 7%인가요?,"""7%는 저희 차집사에서 고객님들께 제공하는 매력적인 소개료입니다. 보험료의 7%를 지급해드리니, 고객님들께도 좋고 딜러님께도 유리한 조건입니다""",fee_question
왜 7%인지 근거가 있을까요,,"""7%는 저희 차집사에서 제공하는 소개료로, 다이렉트 보험 상품의 경쟁력을 고려한 비율입니다. 고객님께서 소개해주신 보험 가입 시, 저희가 제공하는 혜택으로 딜러님께도 이익이 될 수 있도록 설정했습니다. 추가 질문이 있으시면 언제든지 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/c201612903350772.wav,c201612903350772,46f15b057ebd58f5,chatbot_response,batch_approval_script,왜 7%인지 근거가 있을까요,"""7%는 저희 차집사에서 제공하는 소개료로, 다이렉트 보험 상품의 경쟁력을 고려한 비율입니다. 고객님께서 소개해주신 보험 가입 시, 저희가 제공하는 혜택으로 딜러님께도 이익이 될 수 있도록 설정했습니다. 추가 질문이 있으시면 언제든지 말씀해 주세요""",fee_question
실례지만 왜 7%인가요?,,"""7%는 저희가 고객님께 제공하는 광고비로, 보험료의 7%를 소개료로 지급해드립니다. 경쟁력 있는 금액으로 딜러님께도 혜택을 드리기 위해 설정한 비율입니다""",ko-KR,s3://tts-bucket-250810/ko-KR/10b55a3b45c7530f.wav,10b55a3b45c7530f,0d2435e1f55d37a7,chatbot_response,batch_approval_script,실례지만 왜 7%인가요?,"""7%는 저희가 고객님께 제공하는 광고비로, 보험료의 7%를 소개료로 지급해드립니다. 경쟁력 있는 금액으로 딜러님께도 혜택을 드리기 위해 설정한 비율입니다""",fee_question
실례지만 가입 가능 여부가 궁금합니다,,"""가입 가능 여부는 고객님의 사고 이력에 따라 다릅니다. 사고가 많으신 경우, 오프라인으로 가입이 가능하니 걱정하지 않으셔도 됩니다. 궁금한 점이 더 있으신가요""",ko-KR,s3://tts-bucket-250810/ko-KR/cb343980e4b6e8ce.wav,cb343980e4b6e8ce,798ed5fe2d7dc1b8,chatbot_response,batch_approval_script,실례지만 가입 가능 여부가 궁금합니다,"""가입 가능 여부는 고객님의 사고 이력에 따라 다릅니다. 사고가 많으신 경우, 오프라인으로 가입이 가능하니 걱정하지 않으셔도 됩니다. 궁금한 점이 더 있으신가요""",other
죄송하지만 어떤 조건이면 가입할 수 있나요,,"""가입 조건은 간단합니다. 고객님이 보험 가입을 원하시면, 저희에게 고객을 소개해 주시면 됩니다. 차량 종류와 관계없이 모든 고객님께 연결이 가능합니다""",ko-KR,s3://tts-bucket-250810/ko-KR/c3f4f91f6325c600.wav,c3f4f91f6325c600,509a99938490d94a,chatbot_response,batch_approval_script,죄송하지만 어떤 조건이면 가입할 수 있나요,"""가입 조건은 간단합니다. 고객님이 보험 가입을 원하시면, 저희에게 고객을 소개해 주시면 됩니다. 차량 종류와 관계없이 모든 고객님께 연결이 가능합니다""",other
실례지만 어떤 조건이 있어야 가입할 수 있나요?,,"""가입 조건은 간단합니다. 고객님이 판매하는 차량이 보험 가입이 가능한 차량이어야 하고, 보험사에 따라 차이가 있을 수 있으니 자세한 내용은 저희와 상담 후 확인하시면 됩니다""",ko-KR,s3://tts-bucket-250810/ko-KR/41a2758beb68e2a8.wav,41a2758beb68e2a8,dffb29984d01552c,chatbot_response,batch_approval_script,실례지만 어떤 조건이 있어야 가입할 수 있나요?,"""가입 조건은 간단합니다. 고객님이 판매하는 차량이 보험 가입이 가능한 차량이어야 하고, 보험사에 따라 차이가 있을 수 있으니 자세한 내용은 저희와 상담 후 확인하시면 됩니다""",other
